"(PDH-CSV 4.0) (India Standard Time)(-330)","\\Z_ANXX1_HPPAVX1\Memory\% Committed Bytes In Use","\\Z_ANXX1_HPPAVX1\Memory\Available MBytes","\\Z_ANXX1_HPPAVX1\Processor Information(_Total)\% Processor Time"
"02/25/2023 11:22:51.696","84.513435881704424446","665","3.9708658431471643979"
"02/25/2023 11:22:52.690","84.683344393196364308","581","5.749520528960838206"
"02/25/2023 11:22:53.694","85.03055760754052983","491","6.8439837473956988134"
"02/25/2023 11:22:54.688","84.716807884331046807","485","4.9393572806961998367"
"02/25/2023 11:22:55.684","84.319093191139188548","493","4.2227408499745049397"
"02/25/2023 11:22:56.691","84.563576147091481516","466","5.4272856011138514987"
"02/25/2023 11:22:57.684","84.572354234888308611","480","8.2604902241627762294"
"02/25/2023 11:22:58.686","84.521193239959231391","480","9.2069591396691023988"
"02/25/2023 11:22:59.678","84.502726300736597409","490","3.5451393984154866423"
"02/25/2023 11:23:00.688","84.505631398527341958","496","1.2198224742191454695"
"02/25/2023 11:23:01.680","84.470362026353910778","494","4.7285479806811085979"
"02/25/2023 11:23:02.693","84.477978079691069979","498","0.74130387642887818345"
"02/25/2023 11:23:03.694","84.188081483400452498","557","6.6062599953667593411"
"02/25/2023 11:23:04.688","83.988274094645930745","596","3.750936059516796206"
"02/25/2023 11:23:05.679","84.038571427585225138","584","1.7019015844535356763"
"02/25/2023 11:23:06.697","84.45214633467890053","514","10.450003620480508459"
"02/25/2023 11:23:07.695","84.323521490284122137","551","5.5936402299140652872"
"02/25/2023 11:23:08.693","84.336303892623703859","554","6.1544927860490039606"
"02/25/2023 11:23:09.689","84.363423307510885252","543","5.8601291388154947981"
"02/25/2023 11:23:10.690","84.390260042713549637","508","6.008937976997207997"
"02/25/2023 11:23:11.686","84.294376378947490025","570","4.9223470821172625733"
"02/25/2023 11:23:12.674","84.423126835474533891","548","2.9982156057218434242"
"02/25/2023 11:23:13.690","84.345427454529669831","548","7.0774049485658458991"
"02/25/2023 11:23:14.684","84.300045223045174225","556","6.5128826316157795162"
"02/25/2023 11:23:15.693","84.415369453936676791","530","6.6272210477141264562"
"02/25/2023 11:23:16.679","84.429596547137393259","517","11.010123666552351196"
"02/25/2023 11:23:17.682","84.552897998260547752","510","11.126806903819385752"
"02/25/2023 11:23:18.687","84.569559079727525841","506","6.4315319451634049841"
"02/25/2023 11:23:19.677","84.59129228363542552","501","5.5498525554744322363"
"02/25/2023 11:23:20.683","84.568459839692451396","503","7.3382718905963706391"
"02/25/2023 11:23:21.688","84.595312314246612573","495","5.1492712876631374641"
"02/25/2023 11:23:22.673","84.611722148165966928","487","11.470177514108371497"
"02/25/2023 11:23:23.690","84.640034983083609177","484","8.4442217971862465475"
"02/25/2023 11:23:24.677","84.486944597327834572","506","6.1555238702093788561"
"02/25/2023 11:23:25.684","84.4599665106413795","532","10.31129511117172548"
"02/25/2023 11:23:26.703","84.659224279378364031","534","9.5961955827907559069"
"02/25/2023 11:23:27.679","84.489519913794836725","578","7.0123613692814394938"
"02/25/2023 11:23:28.684","84.58152489843348576","546","9.0896387475238764608"
"02/25/2023 11:23:29.700","84.693174572822911728","509","5.697195093354368467"
"02/25/2023 11:23:30.690","84.416704225450928334","540","5.6502018640272488881"
"02/25/2023 11:23:31.677","84.41522812573593626","544","2.4328658751328280374"
"02/25/2023 11:23:32.684","84.426738574268938464","532","5.3111868058658089353"
"02/25/2023 11:23:33.675","84.422687134803894082","530","4.1069471047189605173"
"02/25/2023 11:23:34.693","84.330854887219814486","553","6.8896521727855759565"
"02/25/2023 11:23:35.696","84.317789828478765912","501","8.4349900746340082947"
"02/25/2023 11:23:36.688","84.091287032722334516","518","6.1927483463894095195"
"02/25/2023 11:23:37.685","84.097489780769095091","522","6.6144029097314209764"
"02/25/2023 11:23:38.696","84.104995914759356879","520","7.5393673959969103038"
"02/25/2023 11:23:39.691","84.120275123072858037","519","3.1423351148610945138"
"02/25/2023 11:23:40.689","84.315277329719464205","511","4.345223360189542916"
"02/25/2023 11:23:41.677","84.066224746421497116","535","7.253838881509667047"
"02/25/2023 11:23:42.692","84.088507570346934017","520","0"
"02/25/2023 11:23:43.693","84.086324829628296129","521","6.1281164360721174234"
"02/25/2023 11:23:44.689","84.136669240923751545","515","2.6897222793457520318"
"02/25/2023 11:23:45.727","84.215499247474483013","511","7.9707292746208917578"
"02/25/2023 11:23:46.695","84.299715465004481985","499","5.7447883993318793472"
"02/25/2023 11:23:47.691","84.17280227508695134","521","1.7206398492998542515"
"02/25/2023 11:23:48.678","84.18147044353686681","521","4.7485010695356262289"
"02/25/2023 11:23:49.684","84.16206130854833134","521","2.6663488371006516253"
"02/25/2023 11:23:50.692","84.174482520710327549","530","1.796706025721239719"
"02/25/2023 11:23:51.691","84.354896467261681892","506","3.7991977472531468507"
"02/25/2023 11:23:52.684","84.276003643003292609","523","4.74087472209389027"
"02/25/2023 11:23:53.695","84.263205547878342827","502","14.345005222579631621"
"02/25/2023 11:23:54.693","84.208432814154875246","512","5.5004900859098810884"
"02/25/2023 11:23:55.692","84.211353604731002065","509","1.9404181594674274614"
"02/25/2023 11:23:56.689","84.218875431506631912","515","4.6069772734948717385"
"02/25/2023 11:23:57.680","84.210411432248164942","509","3.4398698771204050395"
"02/25/2023 11:23:58.694","84.186416953845508715","466","3.0487573360168607195"
"02/25/2023 11:23:59.690","84.073306872526487155","463","7.7948725778255845142"
"02/25/2023 11:24:00.688","84.062079103678016168","471","2.1705037450821640377"
"02/25/2023 11:24:01.683","84.093516875080183581","472","3.4418050824465695747"
"02/25/2023 11:24:02.691","84.123274424142039152","465","1.924657292947973275"
"02/25/2023 11:24:03.693","84.3566238145242977","422","6.8132391557878202448"
"02/25/2023 11:24:04.693","83.995544673873936858","452","1.936174764616804822"
"02/25/2023 11:24:05.682","83.995356244033985149","454","3.7599159886140598452"
"02/25/2023 11:24:06.698","83.996832343748963012","456","1.5031824252063175074"
"02/25/2023 11:24:07.692","83.997146409004258771","463","2.6157852459247399324"
"02/25/2023 11:24:08.685","83.996125702745302988","455","3.9963892066206208042"
"02/25/2023 11:24:09.674","83.787571635047811469","490","2.6363834968183175178"
"02/25/2023 11:24:10.685","83.789597354780326555","663","3.2435511011082662769"
